state_code,state_name_english,state_census2011_code,district_code,district_name_english,district_census2011_code,subdistrict_code,subdistrict_name_english,subdistrict_census2011_code,state_or_ut
8,Rajasthan,8.0,86,Ajmer,119.0,606,Kishangarh,606.0,S
8,Rajasthan,8.0,783,Jaipur (Gramin),,6026,Kishangarh Renwal,0.0,S
20,Jharkhand,20.0,336,Lohardaga,356.0,2597,Kisko,2597.0,S
32,Kerala,32.0,566,Thrissur,594.0,5655,Kodungallur,5655.0,S
36,Telangana,0.0,691,Sangareddy,0.0,4475,Kohir,4475.0,S
21,Odisha,21.0,358,Kalahandi,395.0,3169,Kokasara,3169.0,S
23,Madhya Pradesh,23.0,396,Bhopal,444.0,7034,Kolar,0.0,S
36,Telangana,0.0,683,Rajanna Sircilla,0.0,4431,Konaraopet,4431.0,S
28,Andhra Pradesh,28.0,515,Sri Potti Sriramulu Nellore,550.0,5156,Kondapuram,5156.0,S
22,Chhattisgarh,22.0,642,Sukma,0.0,3373,Konta,3373.0,S
29,Karnataka,29.0,543,Koppal,560.0,5467,Koppal,5467.0,S
9,Uttar Pradesh,9.0,120,Prayagraj,175.0,895,Koraon,895.0,S
28,Andhra Pradesh,28.0,750,Bapatla,0.0,5122,Korisapadu,5122.0,S
36,Telangana,0.0,681,Jagitial,0.0,4416,Korutla,4416.0,S
5,Uttarakhand,5.0,51,Nainital,66.0,338,Kosya Kutauli,338.0,S
28,Andhra Pradesh,28.0,519,Srikakulam,542.0,4791,Kotabommali,4791.0,S
21,Odisha,21.0,359,Kandhamal,390.0,3123,Kotagarh,3123.0,S
36,Telangana,0.0,516,Nizamabad,533.0,4371,Kotagiri,4371.0,S
36,Telangana,0.0,684,Mancherial,0.0,4351,Kotapally,4351.0,S
8,Rajasthan,8.0,782,Kotputli-Behror,,538,Kotputli,538.0,S
28,Andhra Pradesh,28.0,511,Kurnool,552.0,5252,Kowthalam,5252.0,S
22,Chhattisgarh,22.0,381,Uttar Bastar Kanker,413.0,7345,Koylibeda,0.0,S
28,Andhra Pradesh,28.0,748,Eluru,0.0,4952,Koyyalagudem,4952.0,S
19,West Bengal,19.0,314,Jalpaiguri,328.0,7119,Kranti,0.0,S
36,Telangana,0.0,721,Narayanpet,0.0,6264,Krishna,0.0,S
19,West Bengal,19.0,320,Nadia,336.0,2309,Krishnaganj,2309.0,S
19,West Bengal,19.0,320,Nadia,336.0,2308,Krishnagar - I,2308.0,S
29,Karnataka,29.0,544,Mandya,573.0,5546,Krishnarajpet,5546.0,S
28,Andhra Pradesh,28.0,502,Ananthapuramu,553.0,5323,Kudair,5323.0,S
27,Maharashtra,27.0,495,Sindhudurg,529.0,4280,Kudal,4280.0,S
23,Madhya Pradesh,23.0,403,Dhar,438.0,3536,Kukshi,3536.0,S
1,Jammu And Kashmir,1.0,622,Kulgam,15.0,59,Kulgam,59.0,U
